# #(c) Patrick Heenan 
# #Extension (nm),	G(q) (kcal/mol),	G(q) (upper bound) (kcal/mol),	G(q) (lower bound) (kcal/mol)
# 
1.4060583568e+01,5.1310397241e+01,3.9614425737e+01,6.3006368746e+01
1.4105220341e+01,5.1388730053e+01,3.9691716837e+01,6.3085743270e+01
1.4149857115e+01,5.1466232473e+01,3.9767701088e+01,6.3164763858e+01
1.4194493888e+01,5.1543205090e+01,3.9842187283e+01,6.3244222896e+01
1.4239130661e+01,5.1619948491e+01,3.9914984564e+01,6.3324912417e+01
1.4283767434e+01,5.1696763264e+01,3.9985901350e+01,6.3407625179e+01
1.4328404207e+01,5.1773948716e+01,4.0054742832e+01,6.3493154600e+01
1.4373040981e+01,5.1851756535e+01,4.0121432367e+01,6.3582080704e+01
1.4417677754e+01,5.1930454591e+01,4.0186542929e+01,6.3674366254e+01
1.4462314527e+01,5.2010125160e+01,4.0250732027e+01,6.3769518293e+01
1.4506951300e+01,5.2090830621e+01,4.0314643175e+01,6.3867018067e+01
1.4551588074e+01,5.2172633354e+01,4.0378926659e+01,6.3966340048e+01
1.4596224847e+01,5.2255595736e+01,4.0444241350e+01,6.4066950122e+01
1.4640861620e+01,5.2339780149e+01,4.0511255273e+01,6.4168305025e+01
1.4685498393e+01,5.2425248971e+01,4.0580645025e+01,6.4269852916e+01
1.4730135167e+01,5.2512064581e+01,4.0653094051e+01,6.4371035110e+01
1.4774771940e+01,5.2600289971e+01,4.0729289899e+01,6.4471290042e+01
1.4819408713e+01,5.2690032351e+01,4.0809835660e+01,6.4570229043e+01
1.4864045486e+01,5.2781315492e+01,4.0894603476e+01,6.4668027507e+01
1.4908682259e+01,5.2874185628e+01,4.0983119585e+01,6.4765251671e+01
1.4953319033e+01,5.2968702414e+01,4.1074912493e+01,6.4862492336e+01
1.4997955806e+01,5.3064925507e+01,4.1169510205e+01,6.4960340808e+01
